"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV",
"24","05","ARR","2024084","","","","","24","05","ARR","2024084","","","24","05","03","10","13","PM","12","0","0","0","0","","WASILLA","157.3","02","45","4","2","024","R","130N","1","7276","1","Y","MP157.8","3","","1","ARR","004004","001","N","","","000","N","5","0","0","0","0","0","0","0","0","0","62","0","0","0","0","0","0","0","0","0","0","0","M505","","0","0","0","0","M505","1","3","024","0","","02C170","0","000000","1","1","0","1","0","01","45","01","45","1","8","","2","","","","119","","2024","0","0","0","0","1","0","MATANUSKA SUSITNA","170","00","00","","N","CWR","2","AT APPROXIMATELY 2213 HRS, 130N CONTACTED THE DISPATCHER, STATING THEY HAD STRUCK AN INDIVIDUAL WHIL","E TRAVERSING NORTH.","","","","","","","","","","","","","","0","61.5717","-149.3948","1","1","J","J","J","CENTRAL",
"24","05","ARR","2024089","","","","","24","05","ARR","2024089","","868332U","24","05","14","6","0","PM","08","0","0","0","0","","WILLOW","186.9","02","55","2","1","005","E","","2","0","A","Y","MAIN LINE","4","","1","ARR","001394","001","N","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1000","0","M399","","0","0","0","0","M399","1","4","005","1000","","","0","000000","0","1","0","0","0","09","","","","1","8","","2","","","","178","","2024","0","0","0","0","0","0","","","","","","N","","","THE V-1394 WAS BACKING SOUTH ACROSS WILLOW FISHHOOK CROSSING AT MP 186.9 WHEN IT WAS STRUCK BY A CIV","ILIAN VEHICLE TRAVELING WEST ON WILLOW FISHHOOK RD. NO INJURIES WERE REPORTED.","","","","","","","","","","","","","","","61.7618","-150.0494","1","1","","","","MATANUSKA SUSITNA",
"24","05","NS","156594","","","","","24","05","NS","156594","","","24","05","04","11","30","AM","01","0","0","0","0","","IRONDALE","791.00","01","80","2","1","008","R","AB02","2","0","7","Y","EAST PULLBACK","1","","2","BNSF","237828","102","N","","","000","","3","0","0","0","0","0","0","0","0","0","76","0","31","0","0","0","0","1","0","0","204761","109833","H504","","0","0","0","0","H504","2","1","008","314594","","01C073","0","000000","0","1","0","0","0","04","30","","","1","3","","1","","","","89","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","6346","1","AB02 WAS SHOVING EAST PULLBACK TO THE WEST YARD WHEN THE BNSF 237828 DERAILED ALL WHEELS.","","","","","","","","","","","","","","","1","33.548905","-86.678009","2","5","L","","","EAST END",
"24","05","NS","156642","","","","","24","05","NS","156642","","","24","05","09","3","5","AM","12","0","0","0","0","","IRONDALE","791","01","76","4","1","008","E","AB48","1","0","8","Y","WEST PULLBACK","1","","2","NS","000740","001","N","","","000","","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","103994","14700","H702","","0","0","0","0","H702","2","1","008","222688","","01C073","0","000000","0","1","0","0","0","03","05","","","1","3","","1","","","","115","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","225","1","YARDMASTER LINED INCORRECT ROUTE TO AB48 RESULTING IN COLLISION WITH AB41 IN PULLBACKS AND DERAILMEN","T OF 5 RAILCARS","","","","","","","","","","","","","","3","33.548905","-86.678009","2","5","K","","","EAST END",
"24","05","NS","156642","","","","","24","05","NS","156642","","","24","05","09","3","5","AM","12","0","0","0","0","","IRONDALE","791","01","76","4","1","008","E","AB41","1","0","7","Y","WEST PULLBACK","1","","2","TILX","291102","007","N","","","000","","3","0","0","0","0","0","0","0","0","0","10","0","14","0","0","0","0","5","0","0","103994","0","H702","","0","0","0","0","H702","2","1","008","222688","","01C073","0","000000","0","1","0","0","0","04","20","","","3","3","","1","","","","115","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","1398","1","YARDMASTER LINED INCORRECT ROUTE TO AB48 RESULTING IN COLLISION WITH AB41 IN PULLBACKS AND DERAILMEN","T OF 5 RAILCARS","","","","","","","","","","","","","","3","33.548905","-86.678009","2","5","K","","","EAST END",
"24","05","NS","156730","","","","","24","05","NS","156730","","","24","05","15","8","10","PM","12","0","0","0","0","","TRUSSVILLE","AG126.","01","73","4","1","006","R","A52A","2","92","1","Y","SINGLE MAIN TRACK","4","350","1","FINX","010511","001","Y","","","000","","2","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","46076","0","H318","","0","0","0","0","H318","1","4","006","46076","","01C073","0","000000","0","1","0","1","0","04","10","04","10","1","3","","1","","","","226","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","151","1","TRAIN A52A615 WAS GRAVITY DROPPING CARS AND THE CARS GOT AWAY FROM THEM. THE CREW THEN BEGIN TO CHAS","E THE CARS AND THE CARS BEGIN TO ROLL BACK INTO THEM. WHEN COUPLING THE COUPLERS MISMATCHED AND CAUS","ED DAMAGE TO THE HEAD CAR.","","","","","","","","","","","","","0","33.64361","-86.572324","1","2","P","J","D","AGS NORTH",
"24","05","NS","156595","","","","","24","05","NS","156595","","","24","05","03","1","30","PM","12","0","0","0","0","","IRONDALE","791.00","01","78","2","1","006","E","NOTR","1","0","5","N","CLASS TRACK 39","1","","2","SHPX","432997","001","N","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1500","0","M411","","0","0","0","0","M411","2","1","006","37274","","01C073","0","000000","0","0","0","0","0","","","","","3","3","","1","","","","89","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","80","","MISMATCH COUPLING FOUND IN CLASS TRACK 39 CAUSING DAMAGE TO A SHPX432997 AND HPTX 732527.","","","","","","","","","","","","","","","0","33.548905","-86.678009","2","5","K","","","EAST END",
"24","05","NS","156595","","","","","24","05","NS","156595","","","24","05","03","1","30","PM","12","0","0","0","0","","IRONDALE","791.00","01","78","2","1","000","E","NOTR","1","0","5","N","CLASS TRACK 39","1","","2","HPTX","732527","001","N","","","000","","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","35774","0","M411","","0","0","0","0","M411","2","1","006","37274","","01C073","0","000000","0","0","0","0","0","","","","","1","3","","1","","","","89","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","65","","MISMATCH COUPLING FOUND IN CLASS TRACK 39 CAUSING DAMAGE TO A SHPX432997 AND HPTX 732527.","","","","","","","","","","","","","","","0","33.548905","-86.678009","2","5","K","","","EAST END",
"24","04","NS","156341","","","","","24","04","NS","156341","","","24","04","12","10","30","AM","01","0","0","0","0","","IRONDALE","791.00","01","75","2","1","002","E","AB03","1","0","7","Y","RT09","1","","2","NS","201654","001","Y","NS","201654","001","Y","3","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","5600","35402","E21C","","0","0","0","0","E21C","2","1","002","41002","","01C073","0","000000","0","1","0","0","0","02","30","","","1","3","","1","","","","195","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","6100","","AB03 COUPLED UP TO RECEIVING TRACK NINE AND TIED CARS TO SHOVE TO THE CUT TO HUMP, AB03 COULDN'T MOV","E THE CAR AND NOTICE THERE WERE THREE CARS ON THE GROUND DUE TO BROKEN CENTER SILL ON NS 201654","","","","","","","","","","","","","","1","33.548905","-86.678009","2","5","K","","","EAST END",
"24","05","BNSF","HL0524107","","","","","24","05","BNSF","HL0524107","","","24","05","11","12","18","AM","01","0","0","0","0","","BIRMINGHAM","732.9","01","65","4","1","003","R","QLAC","3","6334","1","Y","4000","1","0","2","TTGX","700901","027","Y","","","000","","6","0","0","0","0","0","0","0","0","0","81","0","0","0","0","5","0","0","0","0","27022","19000","H525","","0","0","0","0","H525","2","1","003","46022","","01C073","0","000000","0","1","0","1","0","03","13","03","13","1","3","","1","","","","210","","2024","0","0","0","0","0","0","JEFFERSON","073","","","","N","8179","2","Q-LACATG6-06A WAS IN THE PROCESS OF SHOVING YARD TRACKS TO DOUBLE OVER TRAIN IN YARD AND DERAILED 5","RAILCARS DUE TO H525 - INDEPENDENT (ENGINE) BRAKE, IMPROPER USE (EXCEPT ACTUATION) (H023). NO HAZMAT","RELEASED.","","","","","","","","","","","","","0","33.536138","-86.830759","2","5","K","","","BIRMINGHAM",
